Peak Numbers based on the given limits	2604
Time_Botoom	Bottom	Time_Peak	Peak	Time_HLLS	HLLS	L_s	Time_HLTB	HLTB	L_f
0.058	1.27991	0.578	1.86429	0.298	1.63993	2.4492	0.018	1.31378	0.1884
1.178	1.67193	1.418	2.02209	1.278	1.79024	1.1304	0.858	1.63806	2.826
2.378	1.5394	2.778	2.07532	2.558	1.80952	1.884	1.878	1.69839	4.5216
3.578	1.38147	4.618	2.17725	4.078	1.79923	4.8984	3.158	1.67567	3.768
4.738	1.5318	5.138	1.95196	4.918	1.72589	1.884	4.658	1.97718	0.5652
5.258	1.3956	5.458	1.83084	5.338	1.62415	0.942	5.178	1.78262	0.5652
6.098	1.35205	6.298	1.95038	6.178	1.59582	0.942	5.758	1.60608	3.0144
6.498	1.43268	7.178	2.07349	6.818	1.78328	3.2028	6.378	1.75627	0.942
7.258	1.54556	7.498	1.84903	7.358	1.72171	1.1304	7.198	1.91691	0.3768
7.578	1.41199	7.938	1.87872	7.738	1.66712	1.6956	7.518	1.70191	0.3768
8.178	1.66498	8.578	1.96676	8.358	1.8552	1.884	8.038	1.76692	1.1304
8.738	1.3653	9.338	1.91467	9.018	1.67559	2.826	8.638	1.70884	0.7536
9.858	1.50915	10.618	2.00833	10.218	1.88003	3.5796	9.578	1.60268	2.4492
10.698	1.41684	11.058	1.81342	10.858	1.65824	1.6956	10.638	1.85582	0.3768
11.498	1.52347	11.938	2.03638	11.698	1.78567	2.0724	11.258	1.68691	2.0724
12.458	1.68066	12.898	1.94589	12.658	1.84317	2.0724	12.178	1.56309	2.4492
13.138	1.41565	13.818	1.81458	13.458	1.68129	3.2028	12.998	1.70262	1.1304
14.178	1.65637	14.698	2.16021	14.418	1.85367	2.4492	13.978	1.56951	1.6956
14.858	1.68442	15.178	2.07617	14.998	1.86999	1.5072	14.758	1.98252	0.7536
15.378	1.44852	15.618	1.82941	15.478	1.62648	1.1304	15.258	1.96876	0.942
16.018	1.3869	16.498	1.92792	16.238	1.67757	2.2608	15.798	1.60029	1.884
17.258	1.42987	18.138	1.95935	17.678	1.78635	4.1448	16.858	1.63487	3.5796
18.778	1.63009	19.178	1.88455	18.958	1.77367	1.884	18.438	1.62775	3.0144
19.338	1.522	19.858	1.93912	19.578	1.74252	2.4492	19.238	1.75839	0.7536
19.978	1.56427	20.138	1.81613	20.038	1.64359	0.7536	19.898	1.84481	0.5652
20.298	1.32858	21.458	1.98358	20.858	1.87686	5.4636	20.198	1.59321	0.7536
22.538	1.69864	23.178	1.89282	22.838	1.90058	3.0144	21.978	1.65112	5.0868
23.338	1.55762	23.578	1.91989	23.438	1.73018	1.1304	23.238	1.7657	0.7536
23.778	1.32681	24.418	1.80374	24.078	1.66325	3.0144	23.658	1.64545	0.942
24.538	1.46783	25.298	2.11801	24.898	1.80565	3.5796	24.458	1.66166	0.5652
25.698	1.47183	26.178	2.0087	25.918	1.7161	2.2608	25.478	1.68976	1.884
26.338	1.61588	26.698	1.99018	26.498	1.80438	1.6956	26.238	1.79324	0.7536
27.298	1.61688	27.858	1.97903	27.558	1.788	2.6376	26.978	1.58894	2.826
28.058	1.47137	28.578	1.96515	28.298	1.73998	2.4492	27.938	1.72763	0.942
29.298	1.32147	29.858	1.93958	29.558	1.63851	2.6376	28.918	1.56846	3.3912
30.458	1.27444	31.058	1.91647	30.738	1.61134	2.826	30.138	1.69355	2.826
31.258	1.57175	31.618	1.97678	31.418	1.80454	1.6956	31.138	1.68528	0.942
32.178	1.32242	32.458	1.80277	32.298	1.58914	1.3188	31.878	1.64358	2.6376
32.778	1.3959	33.298	1.9429	33.018	1.71742	2.4492	32.598	1.6042	1.5072
